Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,length,Groups_new,length_shift
Chen,5,4.989,1,5.852,1,0.853,3,0.953,17,-1.0,16,0.821,1,0.55,6,24.294,22,0.339,14,0.0,1,0.0,0,PZ11,57,Chen,57.71953041580341
Chen,6,8.355,30,10.521,29,0.794,18,0.914,21,0.0,4,0.748,19,17.55,53,19.236,1,0.318,28,0.0,1,1.72e-12,1,PZ11,57,Chen,58.08800914790561
Chen,8,8.415,31,10.097,22,0.833,5,0.978,4,-1.0,16,0.768,11,9.87,31,21.821,11,0.332,19,0.0,1,2.18e-12,1,PZ11,57,Chen,57.81740815522725
Ding,1,8.417,32,11.643,38,0.723,40,0.826,32,-1.0,16,0.682,47,11.52,43,26.219,42,0.272,48,0.0,1,2.19e-12,1,PZ11,57,Ding,58.34901142141474
Das,4,8.475,33,9.827,19,0.862,1,1.0,1,0.5,3,0.807,2,10.42,36,21.611,9,0.253,51,0.0,1,2.75e-12,0,PZ11,57,Das,57.14555694029248
Das,1,8.526,34,10.732,31,0.794,18,0.955,14,0.0,4,0.739,23,8.23,23,20.808,4,0.312,35,0.0,1,3.36e-12,0,PZ11,57,Das,57.586120109862
Ding,7,8.542,35,11.068,33,0.772,25,0.798,39,-1.0,16,0.779,8,14.26,50,24.517,25,0.353,7,0.0,1,3.57e-12,0,PZ11,57,Ding,56.43945580616031
Adamiak,9,8.645,36,11.213,34,0.771,26,0.81,37,-1.0,16,0.768,11,10.98,41,25.236,31,0.259,50,0.0,1,5.33e-12,0,PZ11,57,Szachniuk,55.565360864844564
Das,6,8.818,37,11.871,41,0.743,34,0.889,25,0.0,4,0.691,42,8.78,26,23.889,21,0.307,37,0.0,1,1.03e-11,0,PZ11,57,Das,56.43764387547759
Xiao,2,8.825,38,11.792,40,0.748,31,0.853,28,-1.0,16,0.721,32,1.1,10,28.555,51,0.358,6,0.0,1,1.06e-11,0,PZ11,57,Xiao,58.422751052293044
Das,3,8.901,39,10.904,32,0.816,9,1.0,1,0.0,4,0.748,19,8.78,26,21.505,8,0.316,30,0.0,1,1.41e-11,0,PZ11,57,Das,56.21915011092128
Bujnicki,6,9.042,40,12.318,42,0.734,37,0.756,46,-1.0,16,0.74,22,0.55,6,22.748,18,0.335,18,0.0,1,2.4e-11,0,PZ11,57,Bujnicki,55.57010924313391
Adamiak,2,9.049,41,12.69,43,0.713,44,0.81,37,-1.0,16,0.678,50,9.88,35,26.299,43,0.295,42,0.0,1,2.46e-11,0,PZ11,57,Szachniuk,57.53143058403113
Bujnicki,7,9.212,42,13.244,45,0.696,49,0.727,50,-1.0,16,0.698,39,1.1,10,22.051,12,0.296,41,0.0,1,4.5e-11,0,PZ11,57,Bujnicki,56.54771157701621
Chen,7,9.305,43,11.631,37,0.8,17,0.978,4,-1.0,16,0.727,31,12.61,46,21.078,6,0.329,20,0.0,1,6.35e-11,0,PZ11,57,Chen,57.48311708493218
Chen,10,9.467,44,11.696,39,0.809,15,0.978,4,-1.0,16,0.73,30,8.23,23,20.685,3,0.342,12,0.0,1,1.14e-10,1,PZ11,57,Chen,58.33185082478328
Xiao,3,10.327,45,14.035,47,0.736,36,0.831,29,0.0,4,0.715,36,1.1,10,26.603,45,0.338,16,0.0,1,2.28e-09,0,PZ11,57,Xiao,58.33697645533986
Adamiak,8,10.392,46,14.371,48,0.723,40,0.831,29,-1.0,16,0.682,47,9.34,29,25.373,33,0.28,45,0.0,1,2.82e-09,0,PZ11,57,Szachniuk,56.105228485029954
Ding,6,10.538,48,13.303,46,0.792,20,0.826,32,-1.0,16,0.797,4,10.97,39,24.392,24,0.279,46,0.0,1,4.57e-09,0,PZ11,57,Ding,56.18428895606126
Xiao,1,10.686,49,14.914,50,0.716,43,0.734,49,0.0,4,0.742,21,4.4,18,29.738,53,0.32,24,0.0,1,7.41e-09,0,PZ11,57,Xiao,57.07170033124496
Adamiak,4,11.177,50,15.751,51,0.71,46,0.831,29,-1.0,16,0.663,53,10.43,38,22.524,15,0.282,44,0.0,1,3.51e-08,0,PZ11,57,Szachniuk,58.322138759808965
Ding,2,11.439,51,14.697,49,0.778,24,0.826,32,-1.0,16,0.773,9,14.26,50,25.637,36,0.288,43,0.0,1,7.79e-08,0,PZ11,57,Ding,56.97775583074913
Bujnicki,2,15.356,52,22.81,53,0.673,52,0.685,52,0.0,4,0.691,42,0.0,1,25.084,29,0.205,53,0.0,1,0.001072,0,PZ11,57,Bujnicki,55.55234680054884
Das,9,16.028,53,21.424,52,0.748,31,0.88,26,0.0,4,0.698,39,12.07,44,28.266,50,0.266,49,0.0,1,0.003509,1,PZ11,57,Das,57.84900703657798
Das,2,8.351,29,10.281,24,0.812,13,0.955,14,-1.0,16,0.759,15,12.07,44,20.208,2,0.353,7,0.0,1,1.69e-12,0,PZ11,57,Das,57.851877917595374
Das,5,8.277,28,11.618,36,0.712,45,0.858,27,0.0,4,0.683,45,10.97,39,22.564,16,0.315,31,0.0,1,1.26e-12,0,PZ11,57,Das,57.223020035275844
